1.37	1.12	1.16	1.17	NaN	1.03	1.21	1.15
1.24	1.18	1.22	1.15	1.13	1.14	1.15	1.20
1.44	1.11	1.43	1.10	0.94	0.99	1.13	1.38
1.34	1.17	1.17	1.18	1.03	1.15	1.16	1.31
1.07	1.18	1.15	1.07	1.24	1.13	1.16	1.14
1.25	0.97	1.07	1.25	1.15	1.02	1.04	1.08
1.10	1.22	1.33	1.43	1.16	1.09	1.10	0.99
1.26	0.99	0.98	1.09	1.45	1.15	1.22	1.16
1.05	1.04	1.23	1.40	1.20	1.08	1.08	1.07
1.28	1.08	1.17	1.28	1.16	1.11	1.05	1.39
1.09	1.14	1.38	1.21	1.37	1.10	1.13	1.36
1.20	1.10	1.17	1.18	1.17	1.13	1.26	1.19
1.27	1.15	1.09	1.26	1.18	1.09	1.20	1.18
1.22	1.10	1.13	1.20	1.39	1.12	1.33	1.23
1.10	1.11	1.23	1.33	1.22	1.06	1.12	1.19
1.22	1.11	1.05	1.26	1.19	1.10	1.22	1.24
1.22	1.24	1.24	1.31	1.22	1.03	1.16	1.19
1.25	1.03	0.98	1.30	1.12	1.03	1.22	1.10
1.12	1.24	1.11	1.14	1.15	1.01	1.34	1.20
1.13	1.19	1.23	0.84	1.08	1.11	1.15	1.24
1.19	1.05	1.08	1.05	1.34	0.93	1.26	1.17
1.17	1.13	1.28	1.22	1.08	1.00	1.19	1.23
1.21	1.17	1.10	1.12	1.20	1.06	1.30	1.22
1.15	1.28	1.09	1.13	0.96	0.97	1.02	1.22
1.11	0.97	1.20	1.21	1.09	1.04	1.43	
1.20	1.10	0.91	1.11	1.14	1.00	1.28	
1.11	1.02	1.17	0.99	1.10	1.14	1.11	
1.15	1.29	1.20	1.32	1.13	0.98	1.23	
0.90	1.37	1.21	1.04	1.26	1.07	1.07	
1.28	1.37	1.21	1.07	1.11	1.05	1.25	
1.40	1.14	1.23	1.09	1.24	1.08	1.32	
1.33	1.02	1.25	1.15	1.08	1.82	1.36	
1.55	1.09	1.22	1.22	0.98	1.14	1.25	
1.24	1.10	1.24	1.16	1.15	1.09	1.27	
1.26	1.07	1.15	1.09	1.02	1.00	1.06	
1.46		1.07	0.98	1.01	1.20	1.17	
		0.87	1.17	0.96	1.05	1.06	
		1.13	1.24	1.06	1.26	1.34	
		1.11	1.42	1.08	1.03	1.28	
		1.20	1.10	1.11	1.04	1.37	
		1.25	1.11	1.26	1.09	1.32	
		1.37	1.05	1.11	1.02	1.14	
		1.28	1.12	1.24	1.08	1.02	
		1.25	1.03	1.08	1.00		
		1.24	1.17	0.98	1.11		
		1.36	1.20	1.15	1.06		
		1.27	1.09	1.02	1.09		
		1.33	1.08	1.01	0.90		
		1.30	1.10	1.39	0.94		
		1.17	1.18	1.22	1.11		
		1.35	1.06	1.15	1.08		
		1.30	1.17	1.28	1.06		
		1.25	1.16	1.13	1.09		
		1.38	1.09	1.17	1.07		
		1.34	1.12	0.97	1.01		
		1.28	1.13	1.03	1.04		
		1.15	1.05	1.13	1.10		
		1.13	0.96	1.08	0.93		
		1.24	1.23	1.01	0.94		
		1.22	1.21	1.22	1.22		
		1.24	1.14	1.26	1.11		
		1.21	1.10	1.10	1.24		
		1.26	1.12	1.33	1.23		
		1.14	0.91	1.21	1.10		
		1.24	1.27	1.08	1.11		
		1.28	1.11	1.10	1.13		
		1.19	1.12	1.17	1.32		
			0.97	0.98	1.07		
			1.07	1.25	1.08		
			0.93	1.22	1.07		
			1.15	1.09	1.22		
			1.18	1.14	1.19		
			1.10	1.08	1.12		
			1.18	1.17	1.07		
			1.13	1.19	1.17		
			0.97	1.19	1.15		
			1.10	1.10	1.01		
			1.17	1.14	1.11		
			1.04	1.15	1.17		
			1.12	1.20	1.01		
			1.03	1.25	1.09		
			1.09	1.24	1.00		
			1.08	1.09	1.08		
			1.13	1.06	1.19		
			1.12	1.26	1.14		
			1.01	1.22	1.03		
			1.22	1.30	1.08		
			1.15	1.17	1.14		
			1.13	1.12	0.97		
			1.19	1.15	1.21		
			1.19	1.14	1.08		
			1.20	0.96	1.11		
			1.02	1.21	1.18		
			1.08	1.14	1.10		
			1.05	1.04	1.19		
			1.14	1.15	1.12		
			1.14	1.34	1.28		
			1.12	1.01	1.15		
			1.23	1.11	1.17		
				1.27	1.10		
				1.37	1.11		
				1.07	1.19		
				1.09	1.07		
				1.16	1.08		
				0.98	1.12		
				1.19	1.08		
				1.17	1.35		
				1.11	0.99		
				1.03	0.91		
				0.94	1.04		
				1.22	0.90		
				1.26	1.13		
				1.19	1.05		
				0.97	0.95		
				1.25	1.08		
				1.05	1.06		
				1.05	1.07		
				1.07	1.21		
				1.22	1.01		
				1.21	1.23		
				1.11	1.19		
				1.21	1.03		
				1.09	1.19		
				1.15	1.07		
				1.09	0.97		
				1.14	0.99		
				1.19	1.10		
				1.27	1.12		
				1.19	0.92		
				1.12	0.97		
				1.18	1.03		
				1.21	1.03		
				1.21			
				1.22			
				1.23			
				1.06			
				1.17			
				1.21			
				1.07			
				1.37			
				1.19			
				1.30			
				1.07			
				1.00			
				1.05			
				1.08			
				1.02			
				1.15			
				0.91			
				1.21			
				1.09			
				1.06			
				1.07			
				1.07			
				1.15			
				1.19			
				1.16			
				1.04			
				1.00			
				1.26			
				1.17			
				1.09			
				1.00			
				1.11			
				1.12			
				0.92			
				1.31			
				1.04			
				1.03			
				1.23			
				1.12			
